© 2000-2017 QIAGEN. All rights reserved.

Analysis Details for My Projects->Miyoung->11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM
Workspace	My Projects
Project	Miyoung
Analysis	11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM
Date	Wed Nov 22 07:55:53 PST 2017
Analysis ID	15713973

Analysis Settings
Cutoff before duplicate resolution	true
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(confidence = Experimentally Observed) AND
(mol. types = biologic drug OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->Miyoung->11-15-2017_q0.05_EZH2 canonical_737 - 2017-11-22 10:55 AM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Dermatological Diseases and Conditions, Organismal Injury and Abnormalities	loss	Loss of hair	2.04E-05	 	 	 	 	TP63,CTSV,EDNRA,SNAP25,FOS,AREG,EGF,SCD,IL1A,SCG5,SCARF1,APOE,LRRK2,mir-221,GJA1	15	
Cellular Movement	invasion	Invasion of carcinoma cell lines	2.12E-05	 	 	 	 	TP63,MMP9,BTC,VEGFA,CCR1,CYP2J2,LTB4R2,EGR1,IL6,PPARG,RPS6KA6,NOV,MSI2,CFH,WSB1,AREG,EGF,MMP3,DUSP1,LRP1,ADAM12,EPAS1,RUNX2	23	
Cell-To-Cell Signaling and Interaction, Connective Tissue Development and Function, Skeletal and Muscular System Development and Function, Tissue Development	activation	Activation of osteoclasts	2.16E-05	 	 	 	 	TANK,IL1B,IL1A,STC1,F13A1,IL6,MMP1,RUNX2,VCAM1,GJA1	10	
Dermatological Diseases and Conditions, Organismal Injury and Abnormalities	disorder of hair	Disorder of hair	2.18E-05	 	 	 	 	TP63,CTSV,EDNRA,VEGFA,SNAP25,ABCA5,EREG,FOS,AREG,EGF,ATP7A,SCD,IL1A,SCG5,SCARF1,FST,APOE,LRRK2,mir-221,LUM,GJA1,LIPH	22	
Cell-To-Cell Signaling and Interaction, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response	adhesion	Adhesion of phagocytes	2.22E-05	 	 	 	 	IL15,KDR,IL1B,GDF15,VEGFA,IL6,CXCL2,PPARG,CFH,VCAM1,LIPG,CXCL8,LCP1,IL1R1,RHOB,IL1A,F3	17	
Organismal Injury and Abnormalities	damage	Damage of genitourinary system	2.22E-05	 	 	 	 	SLC6A6,HSD17B2,TXNIP,CCR1,CYP2J2,NR3C2,B2M,LEPR,IL6,PPARG,CFH,AREG,DUSP1,IL1R1,APOE,FAS,LRRK2	17	
Cellular Movement	chemotaxis	Chemotaxis	2.27E-05	 	 	 	 	IL15,EDNRA,MMP9,CCR1,CCL20,LTB4R2,PDE4B,IL6,BMP2,PPARG,VCAM1,LCP1,DPP4,ITGA1,IL1R1,SCN9A,SNAI2,LRP1,ITGB3,ANGPT1,S1PR1,ACKR3,TRPM4,TP63,CCL28,IL1B,KDR,VEGFA,NR4A1,TRIB1,VIPR1,CXCL2,LIFR,NOV,CXCL8,EGF,GSN,RHOB,IL1A,ENPP2,DUSP6,APOE,FAS,LRRK2,LYST	45	
Connective Tissue Disorders, Immunological Disease, Inflammatory Disease, Inflammatory Response, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	rheumatoid arthritis	Rheumatoid arthritis	2.27E-05	 	 	 	 	BMP5,GCA,CCL20,CEMIP,FOS,SLFN5,SNAI2,SORL1,ITPR1,ADAM12,S1PR1,NR4A2,CLIC2,TNFSF13B,IL1B,VEGFA,G0S2,PRDM1,PTGER2,CXCL8,MMP3,AIM2,GSN,LRRK2,MMP1,MAOB,IL15,BTC,MMP9,CCR1,PTPN22,IL6,PPARG,C1R,VCAM1,LCP1,AREG,DPP4,IL1R1,DUSP1,ARAP2,COCH,ATP8A1,NR4A1,COL4A5,VIPR1,B2M,CXCL2,OFD1,COL4A6,CEBPB,PTPRE,CLEC2B,EPAS1,APOE,C9orf72,RORC,WNT9A	58	
Cell-To-Cell Signaling and Interaction	adhesion	Adhesion of myeloid cells	2.27E-05	 	 	 	 	IL15,KDR,IL1B,GDF15,VEGFA,IL6,CXCL2,PPARG,CFH,VCAM1,LIPG,CXCL8,LCP1,IL1R1,RHOB,IL1A,F3,ITGB3	18	
Carbohydrate Metabolism	synthesis	Synthesis of carbohydrate	2.28E-05	 	 	 	 	BMP5,LEPR,IL6,BMP2,PPARG,NKX3-2,ITGA1,PNPLA3,SCD,RGS2,ENPP1,ANGPT1,PXYLP1,S1PR1,NR4A2,SERINC1,HAS3,IL1B,F2RL2,GBE1,NR4A1,SH3YL1,RORA,CXCL8,EGF,CEBPB,IL1A,GALNT5,ENPP2,DUSP6,GNG2,APOE,IDH1,FAS,RORC,RGS4	36	
Embryonic Development, Hematological System Development and Function, Lymphoid Tissue Structure and Development, Organ Development, Organismal Development, Tissue Development	formation	Formation of lymphoid tissue	2.30E-05	 	 	 	 	SATB1,BHLHE40,IL15,EDNRA,CACNB4,PTPN22,IL6,NKX3-2,HEG1,VCAM1,LCP1,SCG5,ANGPT1,TNFSF13B,SLC40A1,EYA1,KDR,VEGFA,NTN4,HOXB3,EGR1,B2M,PRDM1,MEF2C,CXCL8,EGF,MYSM1,SCARF1,FAS,RORC,EAF2	31	
Cancer, Gastrointestinal Disease, Organismal Injury and Abnormalities	upper gastrointestinal tract cancer	Upper gastrointestinal tract cancer	2.30E-05	 	 	 	 	SLCO4C1,ST8SIA4,PCDHB6,SSBP2,KLHL24,TUBA1A,SCN9A,SNAI2,RAB27B,ITPR1,LRP1,ADAM12,LRRIQ3,HMCN1,PSG1,S1PR1,BEAN1,KYNU,PAQR6,TRIM22,TP63,C9orf84,CFI,KDR,CTHRC1,ARHGEF25,SERPINB7,LY75,HECW1,ADD3,ZCWPW2,EML6,AIM2,ATP7A,IL1A,SCARF1,IFI16,SERPINI1,TOM1L1,MMP9,SLC16A12,MAGI2,IL6,AXIN2,DUSP1,SCG5,GIMAP8,SYCP2,ADAMTSL4,KIF16B,KCNMB4,AKAP6,ADAM22,FRRS1,PLOD2,MEGF6,ATP8A1,ZNF345,PSTPIP2,BBS4,ENTPD4,BCHE,B2M,SPEF2,RBM43,SLC4A3,CEBPB,PTPRE,MALL,APOE,NPHP1,ZNF608,mir-221,RNF128,LYST,PAM,FILIP1L,ATP10D,SERPINB3,GPC6,ATP2B2,MAP2,GEM,IL24,MEGF9,CBLB,ANGPT1,VWDE,ZDBF2,NR4A2,IL1B,EHD3,VEGFA,ITGA10,CASP1,DOCK3,FOCAD,PLAG1,EREG,CXCL8,OSMR,RPS6KA2,C7orf57,PCDHB12,TRANK1,LRRK2,PCDHB11,ADAM28,VLDLR,GMFG,F13A1,EFCAB7,PPARG,SPRY1,CFH,KIAA1024,BEX2,CRTAM,PTPRR,CUBN,HOXB3,ZNF334,PDK4,CXCL2,OFD1,COL4A6,SLC2A10,CPE,PAN2	129	
Cardiovascular Disease, Hematological Disease, Organismal Injury and Abnormalities	thrombus	Thrombus	2.31E-05	 	 	 	 	EDNRA,BTC,IL1B,CFI,GDF15,F2RL2,VEGFA,CD46,NR3C2,IL6,PDE5A,PDE4B,CFH,PTGER2,PROS1,MERTK,CBLB,F3,ITGB3,ANGPT1,APOE,NNMT	22	
Cardiovascular Disease, Neurological Disease, Organismal Injury and Abnormalities	stroke	Stroke	2.34E-05	 	 	 	 	MMP9,ALOX5AP,VEGFA,GABRR2,SNAP25,NR3C2,F13A1,PDE5A,PDE4B,VCAM1,TUBA1A,CA12,LY96,SCN9A,VSNL1,ITGB3,APOE,FAS,XDH,NNMT,GJA1	21	
Cancer, Gastrointestinal Disease, Organismal Injury and Abnormalities	gastric epithelial cancer	Gastric carcinoma	2.37E-05	 	 	 	 	PAM,FILIP1L,ST8SIA4,PCDHB6,SERPINB3,SSBP2,KLHL24,ATP2B2,MAP2,TUBA1A,SCN9A,GEM,SNAI2,MEGF9,CBLB,LRP1,ITPR1,LRRIQ3,VWDE,HMCN1,ZDBF2,PSG1,S1PR1,NR4A2,KYNU,PAQR6,TRIM22,C9orf84,KDR,EHD3,VEGFA,ITGA10,ARHGEF25,SERPINB7,CASP1,DOCK3,FOCAD,PLAG1,ADD3,ZCWPW2,EML6,AIM2,RPS6KA2,C7orf57,PCDHB12,TRANK1,SCARF1,IFI16,LRRK2,PCDHB11,ADAM28,MMP9,VLDLR,F13A1,MAGI2,EFCAB7,CFH,KIAA1024,AXIN2,BEX2,CRTAM,GIMAP8,ADAMTSL4,KIF16B,SYCP2,PTPRR,ADAM22,MEGF6,ATP8A1,CUBN,BBS4,PSTPIP2,ENTPD4,HOXB3,ZNF334,B2M,PDK4,OFD1,SPEF2,RBM43,SLC4A3,COL4A6,SLC2A10,MALL,APOE,PAN2,NPHP1,RNF128	88	
Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking	cellular infiltration	Cellular infiltration by inflammatory leukocytes	2.39E-05	 	 	 	 	KDR,IL1R1,NR4A1,APOE,IL6,PELI1,RORC,PPARG,PLA2R1	9	
Cellular Development, Cellular Growth and Proliferation, Connective Tissue Development and Function, Hair and Skin Development and Function, Organ Development, Tissue Development	proliferation	Proliferation of keratinocytes	2.44E-05	 	 	 	 	CCNG2,INTU,TP63,CTSV,TOM1L1,IL6,KLF9,PTGER2,EREG,CXCL8,FOS,AREG,EGF,SNAI2,ZFP36L1,ITGB3,FST,THRB	18	
Cancer, Gastrointestinal Disease, Organismal Injury and Abnormalities	upper gastrointestinal tract tumor	Upper gastrointestinal tract tumor	2.50E-05	 	 	 	 	SLCO4C1,SATB1,ST8SIA4,PCDHB6,NCAM2,SSBP2,PADI1,KLHL24,TUBA1A,SCN9A,SNAI2,RAB27B,SORL1,CARD6,RGS2,ITPR1,LRP1,ADAM12,LRRIQ3,HMCN1,PSG1,S1PR1,BEAN1,KYNU,PAQR6,TRIM22,TP63,C9orf84,CFI,KDR,CTHRC1,CD46,ARHGEF25,SERPINB7,SETBP1,LY75,HECW1,ADD3,ZCWPW2,EML6,PCSK9,AIM2,ATP7A,IL1A,SCARF1,IFI16,SERPINI1,TOM1L1,MMP9,SNAP25,SLC16A12,MAGI2,RNPC3,LEPR,IL6,RPS6KA6,LCP1,C16orf45,AXIN2,DUSP1,ACAD11,SCG5,GIMAP8,SYCP2,ADAMTSL4,KIF16B,KCNMB4,AKAP6,ADAM22,FRRS1,PLOD2,MEGF6,ATP8A1,ZNF345,PSTPIP2,BBS4,ENTPD4,BCHE,B2M,SPEF2,RBM43,SLC4A3,POLI,SLCO2B1,CEBPB,PTPRE,MALL,APOE,NPHP1,ZNF608,mir-221,RNF128,DYNC2H1,LYST,PAM,BMP5,FILIP1L,ATP10D,SERPINB3,ZNF516,PARP8,SLC2A12,HEG1,GPC6,ATP2B2,MAP2,GEM,IL24,FHDC1,MEGF9,CBLB,ANGPT1,VWDE,ZDBF2,DOCK9,ZBTB25,NR4A2,PTPRM,IL1B,EHD3,VEGFA,ITGA10,CASP1,DOCK3,FOCAD,PLAG1,EREG,CXCL8,OSMR,RPS6KA2,DOCK11,C7orf57,PCDHB12,TRANK1,ENPP2,LRRK2,PCDHB11,ADAM28,RUNX2,VLDLR,GMFG,F13A1,EFCAB7,PPARG,SPRY1,CFH,KIAA1024,DPP4,BEX2,CRTAM,PTPRR,CUBN,HOXB3,ZNF334,PDK4,CXCL2,OFD1,MEF2C,MSI2,COL4A6,SMPDL3B,SLC2A10,CPE,PAN2	164	
Metabolic Disease	amyloidosis	Amyloidosis	2.50E-05	 	 	 	 	CTSV,NR3C2,MAP2,QPCT,SORL1,LRP1,CYP39A1,ADGRL2,ADAM12,HSD11B1,SCP2,CNKSR2,SNAP91,IL1B,VEGFA,CASP1,LY75,CXCL8,OSMR,GSN,IL1A,MMP1,MAOB,RUNX2,SLC6A6,PIK3IP1,MMP9,VLDLR,IL6,PPARG,C1R,PROS1,SCD,SCG5,FRMD4B,SLC1A3,SELENOP,LIPA,FRRS1,COCH,ATP8A1,SLC2A3,C3orf67,BCHE,B2M,NMNAT3,PTPRE,F3,APOE	49	
Neurological Disease	dyskinesia	Dyskinesia	2.51E-05	 	 	 	 	BHLHE40,SNAP25,IL6,PPARG,MAN1A1,FAM117A,STARD4,NBEA,NREP,FOS,ATP2B2,SRPX,MAP2,TUBA1A,CA12,SCN9A,MERTK,SCD,SORL1,RGS2,ITPR1,VSNL1,FRMD4B,SLC1A3,HBP1,S1PR1,ARMCX2,PLOD2,COCH,NR4A1,CASP1,PKIA,EGR1,B2M,CPT1B,LIFR,RDH12,PLSCR4,PTPRE,SLC1A1,F3,GADD45A,APOE,RGS4,MAOB,SERPINI1,GJA1,EFNB3	48	
Cancer	hyperplasia	Hyperplasia of secretory structure	2.57E-05	 	 	 	 	CTSV,SNAP25,NR3C2,IL6,PDE5A,PPARG,RORA,PTGER2,FOS,MMP3,LY96,CEBPB,SCG5,PTPRE,CRYZ,IL1RAP,HSD11B1,MMP1,THRB	19	
Cardiovascular System Development and Function, Cellular Movement	cell movement	Cell movement of endothelial cells	2.63E-05	 	 	 	 	BTC,MMP9,STC1,BMP2,VCAM1,DPP4,PROS1,ARHGEF6,SCN9A,SNAI2,IL24,ITGB3,ANGPT1,S1PR1,ACKR3,NR4A2,LIPA,KIF26B,HAS3,IL1B,KDR,VEGFA,NR4A1,EGR1,CXCL8,EGF,RHOB,F3,ENPP2,APOE,GADD45A,mir-221	32	
Cancer, Organismal Injury and Abnormalities	invasion	Invasion of tissue	2.64E-05	 	 	 	 	MMP9,IL1B,VEGFA,MRAS,BMP2,RORA,SKAP2,CXCL8,EGF,MMP3,GEM,LRP1,ENPP2,FST,FAS,RGS4,MMP1,XDH,RUNX2,ACKR3	20	
Developmental Disorder, Hereditary Disorder, Organismal Injury and Abnormalities, Renal and Urological Disease	polycystic kidney disease	Polycystic Kidney Disease	2.66E-05	 	 	 	 	FILIP1L,MMP9,CYS1,VLDLR,RAPGEF4,FHL1,MAGI2,CPT1B,OFD1,SAMSN1,EGF,CA12,GEM,TMEM67,GSN,CPE,KREMEN1,FST,ANGPT1,SLC1A3,EPAS1,NPHP1,C1S,RGS4	24	
Cellular Movement	infiltration	Infiltration by leukocytes	2.69E-05	 	 	 	 	IL15,ALOX5AP,MMP9,CCR1,NR3C2,STC1,IL6,PPARG,PELI1,VCAM1,CFH,ITGA1,IL1R1,DUSP1,IL24,CBLB,ITGB3,IL1B,KDR,NR4A1,CYP2J2,CASP1,PDK4,PRDM1,CXCL2,CXCL8,MYRF,AIM2,IL1A,F3,APOE,FAS,LRRK2,RORC,PLA2R1	35	
Immunological Disease	allergy	Allergy	2.75E-05	 	 	 	 	CTSV,ALOX5AP,MMP9,CCL20,SERPINB3,PDE5A,PDE4B,LEPR,IL6,PPARG,C1R,LY96,IL1R1,DUSP1,RAB27B,CTSL,CYTIP,SERPINB4,NR4A2,TRPM4,IL1B,VEGFA,ENTPD4,CASP1,PDK4,LY75,PTGER2,CXCL8,OSMR,CPVL,GSN,IL1A,GADD45A,FAS,C1S,RORC	36	
Cancer, Cellular Development, Cellular Growth and Proliferation, Organismal Injury and Abnormalities, Tumor Morphology	growth	Arrest in growth of melanoma cells	2.79E-05	 	 	 	 	IL1B,IL1R1,EGR1	3	
Cardiovascular Disease, Organismal Injury and Abnormalities	instability	Instability of atherosclerotic lesion	2.79E-05	 	 	 	 	MMP3,MMP9,APOE	3	
Cardiovascular Disease, Organismal Injury and Abnormalities, Reproductive System Disease	preeclampsia	Preeclampsia	2.84E-05	 	 	 	 	SLCO4C1,ST8SIA4,CLCN6,CIART,FHL1,SMIM10L2B,NR3C2,CPD,CFH,KLF9,C16orf45,SRPX,PDLIM3,NLGN1,C4orf33,CHN2,RBP5,KYNU,KDR,GDF15,VEGFA,CYP2J2,ARHGEF25,MSMO1,LMBRD1,NMNAT3,GSN,WDR19,KREMEN1,NLRP1,F3,C1S,mir-221,DNAJB9	34	
Cell Death and Survival	cell death	Neuronal cell death	2.91E-05	 	 	 	 	CTSV,NDNF,ST8SIA4,NMNAT2,BMP2,FOS,LRP1,ITPR1,ADAM12,ANGPT1,NR4A2,TP63,IL1B,KDR,VEGFA,CPEB4,CASP1,SYNGAP1,SLC25A27,CXCL8,OSMR,EGF,PCSK9,MMP3,RASD1,ATP7A,SLC1A1,DUSP6,FAS,LRRK2,CTH,MMP1,MAOB,SERPINI1,GJA1,MMP9,SNAP25,ASAH1,IL6,AREG,ITGA1,IL1R1,DUSP1,SLC1A3,TRPM4,GCLC,GDF15,RAPGEF4,EGR1,MEF2C,CEBPB,NLRP1,APOE	53	
Nervous System Development and Function, Tissue Morphology	quantity	Quantity of sensory neurons	2.93E-05	 	 	 	 	ATP2B2,TP63,EYA1,ATP7A,GDF15,SLC1A1,HOXB3,FST,SLC1A3,ENTPD3,THRB	11	
Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function, Lymphoid Tissue Structure and Development	proliferation	Proliferation of immune cells	3.03E-05	 	 	 	 	SATB1,BHLHE40,MRAS,PDE5A,PELI1,KLF9,FOS,LPIN1,ARHGEF6,BTN2A2,MERTK,IL24,RGS2,CBLB,CYTIP,S1PR1,PAG1,TNFSF13B,TXNIP,IL1B,KDR,VEGFA,CD46,PRDM1,LY75,SAMSN1,MMP3,IL1A,GADD45A,FAS,CTH,XDH,PMAIP1,EFNB3,IL15,MMP9,PTPN22,LEPR,IL6,PPARG,VCAM1,LCP1,DPP4,LY96,IL1R1,CRTAM,DUSP1,ITGB3,TANK,EGR1,B2M,CXCL2,MEF2C,CEBPB,APOE,RORC,RNF128,LTBP1	58	
Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function, Lymphoid Tissue Structure and Development	proliferation	Proliferation of mononuclear leukocytes	3.03E-05	 	 	 	 	SATB1,BHLHE40,PDE5A,PELI1,KLF9,FOS,LPIN1,ARHGEF6,BTN2A2,MERTK,IL24,RGS2,CBLB,CYTIP,S1PR1,TNFSF13B,PAG1,TXNIP,IL1B,KDR,VEGFA,CD46,LY75,PRDM1,SAMSN1,MMP3,IL1A,GADD45A,FAS,CTH,PMAIP1,EFNB3,IL15,MMP9,PTPN22,IL6,LEPR,PPARG,VCAM1,LCP1,DPP4,LY96,IL1R1,DUSP1,CRTAM,ITGB3,TANK,EGR1,B2M,CXCL2,MEF2C,CEBPB,APOE,RORC,RNF128,LTBP1	56	
Hereditary Disorder, Organismal Injury and Abnormalities	autosomal dominant disease	Autosomal dominant disease	3.09E-05	 	 	 	 	FILIP1L,EDNRA,NR3C2,PDE5A,KLHL24,TUBA1A,SCN9A,GEM,SNAI2,ENPP1,ANGPT1,CPQ,S1PR1,NR4A2,BEAN1,TP63,IL1B,CFI,KDR,CASP1,SETBP1,SYNGAP1,PCSK9,GSN,IFIH1,SLC1A1,FST,FAS,C1S,LRRK2,THRB,RUNX2,SERPINI1,GJA1,MMP9,VLDLR,SNAP25,ABCA5,TUB,SLC16A12,FHL1,C1R,BEX2,PROS1,ANKRD1,SCG5,KCNJ8,ITGB3,SLC1A3,SOST,TRPM4,PLOD2,SLC40A1,EYA1,COCH,MEF2C,RDH12,MATN3,SLC2A10,CPE,NLRP1,APOE,C9orf72,RGS4	64	
Cellular Development, Connective Tissue Development and Function, Skeletal and Muscular System Development and Function, Tissue Development	differentiation	Differentiation of osteoblasts	3.13E-05	 	 	 	 	EDNRA,GABBR1,STC1,IFT80,IL6,BMP2,PPARG,AREG,AXIN2,SNAI2,ENPP1,SOST,RORB,TRPM4,TP63,MKX,CTHRC1,RANBP3L,VEGFA,NOV,MEF2C,CEBPB,IFI16,FAS,RUNX2,GJA1	26	
Embryonic Development, Organ Development, Organismal Development, Renal and Urological System Development and Function, Tissue Development	formation	Formation of kidney	3.13E-05	 	 	 	 	EDNRA,MMP9,NR3C2,BMP2,SPRY1,AREG,ITGA1,GEM,TMEM67,HSD17B2,EYA1,KDR,EHD3,GDF15,VEGFA,CYS1,COL4A5,EREG,EGF,PCSK9,TSC22D1,ANXA4,APOE,EPAS1,LRRK2,XDH	26	
Connective Tissue Development and Function, Tissue Morphology	quantity	Quantity of connective tissue	3.20E-05	 	 	 	 	PAM,CTSV,MMP9,SH3PXD2B,STC1,F13A1,LEPR,IL6,PPARG,PON3,FOS,ATP2B2,FMO5,IL1R1,DUSP1,RAB27B,CALCR,SCD,ADAM12,ITGB3,HSD11B1,SCP2,SOST,S1PR1,INSIG1,LIPA,KDR,GDF15,VEGFA,PSTPIP2,BBS4,EGR1,PDK4,G0S2,PRDM1,ADD3,MFAP2,CXCL8,EGF,CEBPB,IL1A,KREMEN1,CPE,EPAS1,APOE,XDH,RUNX2	47	
Cell Morphology, Tissue Development	tubulation	Tubulation of cells	3.21E-05	 	 	 	 	BTC,KDR,VEGFA,NR4A1,CASP1,IL6,PPARG,CXCL8,EGF,SNAI2,RHOB,IL1A,ANGPT1,mir-221,RGS4,CSRP3,S1PR1	17	
Organismal Development	growth	Growth of vessel	3.21E-05	 	 	 	 	EDNRA,KDR,VEGFA,NR4A1,NTN4,IL6,LEPR,PPARG,CXCL8,EGF,F3,ITGB3,APOE,HSD11B1,mir-221,XDH,ACKR3,GJA1	18	
Cell Morphology, Tissue Morphology	enlargement	Enlargement of connective tissue cells	3.28E-05	 	 	 	 	LPIN1,MMP3,STC1,BMP2,LEPR,PPARG,NKX3-2,MEF2C,RUNX2	9	
Protein Synthesis	quantity	Quantity of ldl cholesterol in blood	3.28E-05	 	 	 	 	LIPA,FMO5,PCSK9,HSD11B1,APOE,SCP2,PON3,STARD4,LIPG	9	
Hematological System Development and Function, Tissue Development	accumulation	Accumulation of myeloid cells	3.34E-05	 	 	 	 	MMP9,IL1B,VEGFA,CCR1,NR4A1,EGR1,IL6,CXCL2,VCAM1,CXCL8,EGF,MMP3,ITGA1,IL1R1,F3,APOE,FAS,L3MBTL3,ACKR3	19	
Cancer, Cell Death and Survival, Organismal Injury and Abnormalities, Tumor Morphology	cell death	Cell death of cancer cells	3.35E-05	 	 	 	 	BMP5,IL15,MMP9,LAMA3,STC1,LEPR,IL6,BMP2,PPARG,VCAM1,FOS,DPP4,BEX2,ITGA1,IL24,ITPR1,NR4A2,TNFSF13B,KDR,GDF15,VEGFA,NR4A1,TRIB1,CASP1,B2M,CXCL8,TSC22D1,FAS,LRRK2,RORC,mir-221,PMAIP1,THRB	33	
Cellular Assembly and Organization, Cellular Function and Maintenance	organization	Organization of cytoskeleton	3.41E-05	 	 	 	 	PAM,CTSV,EDNRA,MRAS,NCAM2,DNER,BMP2,RAB29,KLF9,KLHL24,FOS,LPIN1,MAP2,TNIK,ARHGEF6,GEM,MERTK,TMEM67,MID1IP1,RGS2,LRP1,ITPR1,ADAM12,ANGPT1,TBC1D32,HBP1,S1PR1,AVIL,SNAP91,PTPRM,HAS3,IL1B,KDR,VEGFA,ARHGEF25,CPEB4,ITGB8,NEURL1,SYNGAP1,UST,CXCL8,EGF,ATP7A,GSN,WDR19,RHOB,FMNL2,IL1A,DOCK11,SORBS2,SCARF1,BBS2,FAS,LRRK2,GJA1,EFNB3,NNMT,INTU,TMEM106B,VLDLR,GMFG,TUB,IFT80,F13A1,MAGI2,IL6,PPARG,CHMP1B,C16orf45,LCP1,AREG,ITGA1,NLGN1,IL1R1,IL1RAP,LOC102724428/SIK1,ITGB3,ADAM22,EYA1,GDF15,RAPGEF4,BBS4,CDC42EP5,EGR1,CEP126,NEK3,OFD1,LIFR,SEMA3G,CNTN1,PTPRE,F3,APOE,BBS10,DYNC2H1	95	
Cancer, Hematological Disease, Organismal Injury and Abnormalities	lymphohematopoietic neoplasia	Lymphohematopoietic neoplasia	3.42E-05	 	 	 	 	SATB1,PCDHB6,LAMA3,SSBP2,PADI1,TMTC2,KLHL24,FOS,TUBA1A,PNPLA3,SCN9A,SNAI2,SPEG,ITPR1,ENPP1,ADAM12,HSD3B1,HMCN1,KIAA1551,S1PR1,PAQR6,TRIM22,TP63,C9orf84,KDR,KLRC3,TRIB1,SETBP1,PRDM1,TBC1D8B,HECW1,ABI3BP,PCSK9,AIM2,GSN,IL1A,SORBS2,FAS,MMP1,NNMT,CCNG2,GOLGA8A/GOLGA8B,IL15,MMP9,MAGI2,PDE4B,IL6,C1R,LCP1,KLHDC1,GREB1,AXIN2,GAREM1,ACAD11,ACSM3,IL1RAP,FRMD4B,PCDHB15,SYCP2,RORB,HMGCLL1,ADAM22,FRRS1,PLOD2,EYA1,C3orf67,COL4A5,BCHE,CEP126,EGR1,B2M,MSMO1,MIA2,LIFR,LIPG,POLI,TSC22D1,CEBPB,PTPRE,ANXA4,APOE,IDH1,RORC,mir-221,EAF2,DYNC2H1,LTBP1,PLPP3,ATP6V0D2,FILIP1L,NDNF,GABBR1,CCL20,PDE5A,DNER,BMP2,CPD,TCN1,SRPX,LPIN1,ATP2B2,KLHL4,TNIK,IL24,CTSL,INCA1,CBLB,ANGPT1,VWDE,ZDBF2,NR4A2,PAG1,IL1B,VEGFA,CASP1,CPT1B,WDR31,RHOBTB1,CXCL8,OSMR,EGF,EFCAB6,RHOB,PCDHB10,PCDHB12,ENPP2,GADD45A,LRRK2,XDH,RUNX2,GJA1,INTU,GALNT9,HOXA13,CACNB4,IFT80,VCAM1,KIAA1024,DPP4,PDLIM3,IL1R1,ITGB3,SOST,COCH,GDF15,HOXB3,IQCA1,PDK4,CXCL2,NEK3,OFD1,MSI2,NXF3,COL4A6,VSTM4,PCMTD1,F3,EPAS1,LUM,BBS10	160	
Embryonic Development, Organismal Development	development	Development of body axis	3.43E-05	 	 	 	 	BMP5,EDNRA,ST8SIA4,HPS3,LAMA3,SH3PXD2B,NCAM2,DNER,BMP2,CRISPLD1,FOS,ATP2B2,MAP2,TNIK,MERTK,SNAI2,ITPR1,TBC1D32,S1PR1,NR4A2,INSIG1,TP63,KDR,CTHRC1,VEGFA,CD46,PRDM1,RORA,CXCL8,EGF,WDR19,ENPP2,MYSM1,FST,BBS2,IFI16,LRRK2,RUNX2,THRB,GJA1,INTU,HOXA13,BTC,VLDLR,AK7,TUB,IL6,NKX3-2,VCAM1,CFH,EDA,AREG,AXIN2,IL1R1,HSD17B7,SLC1A3,SOST,SELENOP,RORB,EYA1,CYS1,BBS4,HOXB3,EGR1,SPEF2,MEF2C,SLC4A3,CNTN1,RDH12,F3,APOE,NPHP1,LUM,BBS10,DYNC2H1,WNT9A	76	
Cellular Movement	homing	Homing of blood cells	3.48E-05	 	 	 	 	IL15,EDNRA,MMP9,CCR1,CCL20,IL6,PDE4B,PPARG,VCAM1,LCP1,DPP4,ITGA1,IL1R1,ITGB3,ANGPT1,S1PR1,ACKR3,TRPM4,CCL28,IL1B,KDR,VEGFA,VIPR1,CXCL2,CXCL8,GSN,RHOB,IL1A,ENPP2,APOE,LRRK2,LYST,GJA1	33	
