© 2000-2017 QIAGEN. All rights reserved.

Analysis Details for My Projects->Miyoung->11-15-2017_q0.05_EZH2 non canonical_597 - 2017-11-22 10:59 AM
Workspace	My Projects
Project	Miyoung
Analysis	11-15-2017_q0.05_EZH2 non canonical_597 - 2017-11-22 10:59 AM
Date	Wed Nov 22 07:59:42 PST 2017
Analysis ID	15714034

Analysis Settings
Cutoff before duplicate resolution	true
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(confidence = Experimentally Observed) AND
(mol. types = biologic drug OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->Miyoung->11-15-2017_q0.05_EZH2 non canonical_597 - 2017-11-22 10:59 AM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Cancer, Organismal Injury and Abnormalities	malignant neoplasm of aerodigestive tract	Malignant neoplasm of aerodigestive tract	3.36E-09	 	 	 	 	VRK2,SETD7,ASCC3,SCAF11,USF3,HLA-DQA1,CHD1,KIF21A,KCNH1,ZNF462,BARD1,CEP350,NRXN3,TLR4,INHBA,NHS,CDCA7,AOX1,MAGI3,STRN,BCOR,AKAP1,COL4A1,MIER3,CDYL2,EIF3A,RIF1,SEMA3D,BOC,CYP26B1,FAM135A,KAT6A,RAP1GAP2,ANKRD50,PRMT6,ARID1A,FAM208B,UTRN,TOP1,FLG,FAT3,DLAT,ARHGAP31,RSU1,PBRM1,PAPPA,TRPC3,DOCK4,ATAD2B,KMT2A,SYNE2,DIO2,SLC12A2,KIAA1524,MAN2A1,COL12A1,UBR5,PDE7A,SPAG1,WDHD1,TRIO,PMEPA1,MOCOS,TRRAP,COBLL1,LRCH1,RC3H2,ZNF215,EP300,KHSRP,KLHL29,RIMS2,BAHD1,KMT2C,FAM49A,STXBP4,ARID2,ADAMTS12,BCL2,BDP1,PARD3B,BMI1,SMG1,GREB1L,RB1,HIPK2,PTGFRN,DNMT3B,PYGO1,AHNAK	90	
Cancer, Gastrointestinal Disease, Organismal Injury and Abnormalities	pancreatobiliary tumor	Pancreatobiliary tumor	3.37E-09	 	 	 	 	DNA2,MYO5C,CLASP2,PTPRB,C2CD5,KIF21A,MEX3D,CAMSAP2,PKP2,TEX2,E2F3,RASSF8,PCF11,NRXN3,FAM196B,VPS13B,STAG1,EPDR1,MFHAS1,ARID1B,NCAPD3,AKAP1,ABCB10,RAD54L2,LEMD3,MYO1B,BOC,KDM3B,ADAMTS1,APPL1,MCM9,MPHOSPH9,CDK5R1,DOCK10,BIRC6,MKL2,PLK4,SETD2,RAVER2,BRCA2,UTRN,FLG,FAT3,PBRM1,KLF12,SMARCA2,PHF2,DOCK4,SYNE2,PIAS1,SIPA1L2,MAN2A1,HECW2,PPARGC1B,STIL,CCDC15,GRIP1,RFX7,AKAP11,SYNJ1,FIGNL1,CHUK,NDST3,ITSN1,BRPF3,TAF2,MYCBP2,EP300,CAAP1,PTPN3,KLHL29,SOS1,PDZD2,UNKL,KMT2C,MGA,PRKCA,CELF2,ADAMTS12,DPY19L1,BCL2,C3orf52,SP3,BDP1,SMG1,CEP135,ASCC3,ITGAV,DNAJC13,UTP20,KCNQ5,CHD1,PCLAF,ESCO2,ATP8B1,TRAPPC10,NBN,PGM2,TLR4,XRCC2,POLR3G,POLQ,SASS6,ENOX1,MAGI3,DIP2B,CCNE2,TCF12,COL4A1,MED13L,CASP8AP2,JAK2,B4GALNT1,WNK1,JAK1,RIF1,DDHD1,SEMA3D,DCLRE1A,ASPM,CRIM1,FRYL,BRIP1,MSX2,CACNA2D1,RBM24,ARID1A,FAM208B,MYO9A,TOP1,SEMA3E,APAF1,CBL,ZNF90,TAF4,COL12A1,UBR5,WDHD1,TSPAN12,TRIO,PMEPA1,SACS,TRIM36,GPHN,NSUN6,COBLL1,NOC3L,MIS12,RC3H2,NIPBL,ANK2,ST6GALNAC5,RIMS2,WEE1,EML1,ZBED4,NLRP3,DDI2,ARID2,CEP78,ICE1,SVIL,RB1	163	
Gene Expression	transcription	Transcription of DNA	3.92E-09	 	 	 	 	FUBP3,DCAF1,NFYA,ZNF462,E2F3,TCF20,CEBPZ,INHBA,RAD54L2,CENPK,HBE1,KAT6A,CDK5R1,MKL2,MDFIC,SFPQ,BRCA2,GTF2H3,PBRM1,KLF12,HIPK1,SMARCA2,PIAS1,ATXN1L,ZBTB18,PPARGC1B,RCOR1,CHUK,GLIS3,ASXL2,TAF2,BRD3,EP300,CAMK4,TRAK2,CRY1,ZHX1,HMGB2,PTPRK,MAML1,SP3,BDP1,BMI1,HIPK2,KAT6B,TFDP1,TFCP2L1,SETD7,IKZF4,CHD1,MYEF2,ATP8B1,GRHL1,TLR4,DICER1,POLR3G,ZNF326,BCOR,HHEX,REL,BACH2,UBP1,TCF12,AHCTF1,JAK2,ZBED3,MED1,RIF1,BRIP1,MSX2,PPP3R1,GTF2I,UHRF1,TEAD1,MEIS2,PRMT6,ARID1A,TOP1,TAF1B,SPIN1,CHD7,ATAD2,DDX21,TAF3,KMT2A,YY2,NEK4,TAF4,GTF2H2,E2F8,TCERG1,ETV3,TRRAP,NIPBL,NPAT,BAHD1,ZNF367,NLRP3,ARID2,MAPK1,RB1,CAVIN2,TAF5L,DNMT3B,PYGO1	105	
Organismal Survival	organismal death	Organismal death	4.09E-09	 	 	 	 	DNA2,DCAF1,NFYA,PKP2,TPP2,E2F3,SBDS,PANK1,INHBA,OCRL,BRD1,FERMT2,FBN1,ABCB10,LEMD3,LIN9,ADAMTS1,KAT6A,COL5A2,CDK5R1,BIRC6,MKL2,RAP1B,PLK4,ADGRG6,SETD2,BRCA2,FBXO5,UTRN,NEK7,PANK3,PBRM1,DCLRE1B,HIPK1,MB21D1,SYNE2,PIAS1,ROR1,ATXN1L,DOCK1,ADGRV1,SLC12A2,FAIM,MAN2A1,AKAP12,GCH1,ZBTB18,PPARGC1B,STIL,PTPN11,QKI,GRIP1,JPH1,SYNJ1,RCOR1,LRP4,CHUK,GLIS3,NDST3,ITSN1,TENM3,MYCBP2,EP300,CAMK4,SOS1,G2E3,KMT2C,PRKCA,BCL2,MAML1,BMI1,SMG1,HIPK2,TFDP1,TFCP2L1,LATS1,ITGAV,ESCO2,BARD1,NBN,TLR4,XRCC2,DICER1,SKP2,REV3L,RAD51D,STXBP5,HHEX,REL,CCNE2,UBP1,TCF12,COL4A1,AHCTF1,JAK2,B4GALNT1,MED1,JAK1,RIF1,ATP2A2,DCLRE1A,CRIM1,CYP26B1,BRIP1,CCP110,PPP3R1,GTF2I,MAN1A2,UHRF1,TEAD1,CYBB,ARID1A,SESTD1,TOP1,TTPA,MASTL,APAF1,PAPPA,BUB1B,TBC1D4,KMT2A,CBL,TAF4,CDK19,COL12A1,FITM2,E2F8,TRIO,PMEPA1,BMPER,TRRAP,GPHN,NOC3L,LMNB1,ADCY7,NIPBL,ANK2,RIMS2,SCYL2,PDPK1,NLRP3,UBR3,KIDINS220,CCL2,MAPK1,RB1,ECT2,GCLM,DNMT3B,PYGO1,CYP24A1	151	
Cancer, Organismal Injury and Abnormalities	tumorigenesis	Tumorigenesis of neuroepithelial tumor	4.19E-09	 	 	 	 	USF3,ITGAV,HLA-DQA1,CHD1,PCLAF,RHPN2,TLR4,VPS13B,DICER1,EPDR1,AOX1,FAM120A,POLQ,SUSD5,LDLRAD3,COL4A1,CASP8AP2,ABCB10,MOB4,AKAP2,ATP2A2,BOC,ASPM,UHRF1,SETD2,BRCA2,ARID1A,RECQL,TOP1,FGF5,FLG,RSU1,PBRM1,CBL,DOCK1,SLC12A2,USP36,AKAP12,CLIP1,PDE11A,PTPN11,CCDC15,SPAG1,TRIO,QKI,ANLN,JPH1,SYNJ1,TRRAP,QSER1,NEGR1,COBL,KIF14,ITSN1,GLIS3,RC3H2,ZNF215,MYCBP2,EP300,OTUD4,ANK2,RIMS2,EPHA4,TAF13,KMT2C,IGSF3,PDPK1,NLRP3,ADAMTS12,BCL2,CCL2,C3orf52,BMI1,ICE1,GREB1L,RB1,HIPK2,ECT2	78	
Cell Cycle	ploidy	Ploidy	4.27E-09	 	 	 	 	DNA2,NEK7,LATS1,EP300,WNK1,BUB1B,JAK1,TPP2,CDK8,E2F3,XRCC2,CCP110,MCM9,STAG1,E2F8,PTPN11,BCL2,SKP2,MKL2,BMI1,RB1,FBXO5,RECQL	23	
Organismal Survival	morbidity or mortality	Morbidity or mortality	5.62E-09	 	 	 	 	DNA2,DCAF1,NFYA,PKP2,TPP2,E2F3,SBDS,PANK1,INHBA,OCRL,BRD1,FERMT2,FBN1,ABCB10,LEMD3,LIN9,ADAMTS1,KAT6A,COL5A2,CDK5R1,BIRC6,MKL2,RAP1B,PLK4,ADGRG6,SETD2,BRCA2,FBXO5,UTRN,NEK7,PANK3,PBRM1,DCLRE1B,HIPK1,MB21D1,SYNE2,PIAS1,ROR1,ATXN1L,DOCK1,ADGRV1,SLC12A2,FAIM,MAN2A1,AKAP12,GCH1,ZBTB18,PPARGC1B,STIL,PTPN11,QKI,GRIP1,JPH1,SYNJ1,RCOR1,LRP4,CHUK,GLIS3,NDST3,ITSN1,TENM3,MYCBP2,EP300,KHSRP,CAMK4,SOS1,G2E3,KMT2C,PRKCA,BCL2,MAML1,BMI1,SMG1,HIPK2,TFDP1,TFCP2L1,LATS1,ITGAV,ESCO2,BARD1,NBN,TLR4,XRCC2,DICER1,SKP2,REV3L,RAD51D,STXBP5,HHEX,REL,CCNE2,UBP1,TCF12,COL4A1,AHCTF1,JAK2,B4GALNT1,MED1,JAK1,RIF1,ATP2A2,DCLRE1A,CRIM1,CYP26B1,BRIP1,CCP110,PPP3R1,GTF2I,MAN1A2,UHRF1,TEAD1,CYBB,ARID1A,SESTD1,TOP1,TTPA,MASTL,APAF1,PAPPA,BUB1B,TBC1D4,KMT2A,CBL,TAF4,CDK19,COL12A1,FITM2,E2F8,TRIO,PMEPA1,BMPER,TRRAP,GPHN,NOC3L,LMNB1,ADCY7,NIPBL,ANK2,RIMS2,SCYL2,PDPK1,NLRP3,UBR3,KIDINS220,CCL2,MAPK1,RB1,ECT2,GCLM,DNMT3B,PYGO1,CYP24A1	152	
Gene Expression	transcription	Transcription	6.41E-09	 	 	 	 	VRK2,FUBP3,DCAF1,PRKAR2B,NFYA,ZNF462,E2F3,TCF20,CEBPZ,INHBA,ARID1B,RAD54L2,CENPK,HBE1,KAT6A,CDK5R1,MKL2,MDFIC,SFPQ,BRCA2,ACTR2,GTF2H3,PBRM1,KLF12,HIPK1,SMARCA2,PIAS1,ATXN1L,HECW2,ZBTB18,PPARGC1B,PTPN11,QKI,GRIP1,RCOR1,CHUK,GLIS3,ASXL2,TAF2,BRD3,EP300,CAMK4,TRAK2,SOS1,CRY1,ZHX1,HMGB2,PTPRK,MGA,PRKCA,BCL2,MAML1,SP3,BDP1,BMI1,HIPK2,KAT6B,TFDP1,TFCP2L1,SETD7,IKZF4,CHD1,MYEF2,ROCK2,ATP8B1,GRHL1,TLR4,DICER1,POLR3G,ZNF326,BCOR,HHEX,REL,BACH2,UBP1,TCF12,AHCTF1,JAK2,ZBED3,MED1,JAK1,RIF1,CDK8,ASPM,CYP26B1,BRIP1,MSX2,PPP3R1,GTF2I,UHRF1,TEAD1,MEIS2,PRMT6,MAP2K6,ARID1A,TOP1,TAF1B,SPIN1,CHD7,ATAD2,DDX21,ZFYVE16,TAF3,KMT2A,YY2,NEK4,TAF4,UBR5,GTF2H2,E2F8,TCERG1,ETV3,TRRAP,ZMYND11,NIPBL,ANK2,NPAT,RIMS2,BAHD1,ZNF367,NLRP3,ARID2,CCL2,MAPK1,RB1,ECT2,CAVIN2,TAF5L,DNMT3B,PYGO1,CYP24A1	131	
Cancer, Organismal Injury and Abnormalities	upper aerodigestive tract carcinoma	Upper aerodigestive tract carcinoma	8.26E-09	 	 	 	 	VRK2,SETD7,ASCC3,SCAF11,USF3,HLA-DQA1,CHD1,KIF21A,KCNH1,ZNF462,BARD1,CEP350,NRXN3,TLR4,INHBA,NHS,CDCA7,AOX1,MAGI3,STRN,BCOR,AKAP1,MIER3,CDYL2,RIF1,SEMA3D,BOC,CYP26B1,FAM135A,KAT6A,RAP1GAP2,ANKRD50,PRMT6,ARID1A,FAM208B,TOP1,FLG,FAT3,DLAT,ARHGAP31,RSU1,PBRM1,PAPPA,TRPC3,DOCK4,ATAD2B,KMT2A,SYNE2,DIO2,SLC12A2,KIAA1524,MAN2A1,COL12A1,UBR5,PDE7A,SPAG1,WDHD1,TRIO,PMEPA1,MOCOS,TRRAP,COBLL1,LRCH1,RC3H2,ZNF215,EP300,KHSRP,KLHL29,RIMS2,BAHD1,KMT2C,FAM49A,STXBP4,ARID2,ADAMTS12,BCL2,BDP1,PARD3B,SMG1,GREB1L,RB1,HIPK2,PTGFRN,DNMT3B,PYGO1,AHNAK	86	
Cancer, Organismal Injury and Abnormalities, Reproductive System Disease	prostatic carcinoma	Prostatic carcinoma	9.20E-09	 	 	 	 	MYO5C,CLASP2,KIF21A,MEX3D,ZNF551,ZNF462,E2F3,PCF11,BORA,NRXN3,VPS13B,OCRL,STAG1,DENND5B,EPDR1,ARID1B,PDPR,AOX1,BRD1,UBE2T,ME2,FERMT2,FAM124A,C1orf106,FBN1,CDYL2,LIN9,ENOX2,GOLIM4,APPL1,COL5A2,MPHOSPH9,BIRC6,SORBS1,SETD2,BRCA2,RECQL,AMIGO1,UTRN,FLG,FAT3,GTF2H3,GNB4,ARHGAP31,PBRM1,SMARCA2,PHF2,DOCK4,PPP2R3A,SYNE2,ATXN1L,SLC12A2,ZNF782,AKAP12,HECW2,CLIP1,PDE11A,PRMT3,CCDC15,SEMA7A,GRIP1,RFX7,AKAP11,MOCOS,SYNJ1,COBL,LRRC8C,ASXL2,MYCBP2,BRD3,FBXO30,EP300,DGKI,OTUD4,KHSRP,PTPN3,EPHA4,SOS1,PDZD2,SMC5,KMT2C,RAPGEF6,MYO5A,MGA,GFM1,BCL2,MTRR,BDP1,GREB1L,KAT6B,TFDP1,KIF15,PTGFRN,AHNAK,B4GALT6,SETD7,ASCC3,ITGAV,DNAJC13,UTP20,MIS18BP1,IPO11,KCNH1,ATP8B1,RHPN2,NBN,TLR4,N4BP2,SKP2,REV3L,POLQ,MAGI3,STRN,SLC36A1,LDLRAD3,DIP2B,COL4A1,CASP8AP2,AHCTF1,JAK2,B4GALNT1,EIF3A,AKAP2,JAK1,PPP2R2C,OTUD6B,NUP160,ASPM,FRYL,CACNA2D1,MEIS2,LRCH3,MYO9A,TTPA,SEMA3E,PAPPA,TAF1B,TBC1D4,ATAD2,ZFYVE16,TAF3,KMT2A,CBL,NEK4,TAF4,COL12A1,TCERG1,TRIO,ETV3,ANLN,SACS,TRRAP,GPHN,PLXNA2,KIF14,NSUN6,SPATA5L1,ADCY7,RBM12B,ANK2,NIPBL,TMX3,RIMS2,SCYL2,EML1,PDPK1,NLRP3,ITSN2,UBR3,LRRCC1,ARID2,CCL2,CEP78,ICE1,SVIL,RB1	176	
Endocrine System Disorders, Gastrointestinal Disease, Organismal Injury and Abnormalities	pancreatic mass	Pancreatic mass	9.60E-09	 	 	 	 	DNA2,MYO5C,CLASP2,PTPRB,C2CD5,KIF21A,MEX3D,CAMSAP2,PKP2,TEX2,E2F3,RASSF8,PCF11,NRXN3,FAM196B,STAG1,MFHAS1,ARID1B,NCAPD3,AKAP1,ABCB10,RAD54L2,LEMD3,MYO1B,BOC,KDM3B,ADAMTS1,APPL1,MCM9,MPHOSPH9,CDK5R1,DOCK10,BIRC6,MKL2,PLK4,SETD2,RAVER2,BRCA2,UTRN,FLG,FAT3,PBRM1,KLF12,SMARCA2,DOCK4,SYNE2,PIAS1,SIPA1L2,MAN2A1,HECW2,PPARGC1B,STIL,CCDC15,GRIP1,RFX7,AKAP11,FIGNL1,CHUK,GLIS3,NDST3,ITSN1,BRPF3,TAF2,MYCBP2,EP300,CAAP1,PTPN3,KLHL29,SOS1,PDZD2,UNKL,KMT2C,MGA,PRKCA,CELF2,ADAMTS12,DPY19L1,BCL2,C3orf52,SP3,BDP1,SMG1,CEP135,ASCC3,ITGAV,DNAJC13,UTP20,KCNQ5,CHD1,PCLAF,ESCO2,ATP8B1,TRAPPC10,NBN,PGM2,TLR4,XRCC2,POLR3G,POLQ,SASS6,ENOX1,MAGI3,DIP2B,CCNE2,TCF12,COL4A1,MED13L,CASP8AP2,JAK2,B4GALNT1,WNK1,JAK1,RIF1,SEMA3D,DCLRE1A,ASPM,CRIM1,FRYL,BRIP1,MSX2,RBM24,ARID1A,FAM208B,MYO9A,TOP1,SEMA3E,APAF1,CBL,ZNF90,TAF4,COL12A1,UBR5,WDHD1,TSPAN12,TRIO,SACS,TRIM36,NSUN6,COBLL1,NOC3L,MIS12,RC3H2,NIPBL,ANK2,ST6GALNAC5,RIMS2,WEE1,EML1,ZBED4,NLRP3,DDI2,ARID2,CEP78,ICE1,SVIL,RB1	156	
Cancer, Organismal Injury and Abnormalities	tumorigenesis	Tumorigenesis of adenocarcinoma	1.50E-08	 	 	 	 	FUBP3,DNA2,ZNF100,KIF21A,ZNF551,PKP2,ZNF462,E2F3,CEBPZ,PCF11,NRXN3,PANK1,INHBA,STAG1,PPFIA1,ARID1B,PDPR,CORO2B,SUSD5,LEMD3,HBE1,KDM3B,KAT6A,DHX35,FAM105A,RAI14,SORBS1,SETD2,BRCA2,UTRN,FLG,FAT3,ACTR2,GNB4,PBRM1,SMARCA2,PHF20L1,AIDA,ARHGEF26,CEP152,SYNE2,FRMPD3,DIO2,AGK,MAN2A1,PDE7A,DGKH,PTPN11,CCDC15,QKI,C2orf88,MOCOS,SLMAP,BRPF3,ZNF215,ASXL2,MYCBP2,EP300,DGKI,OTUD4,KHSRP,PTPN3,KLHL29,SOS1,KMT2C,MGA,ADAMTS12,DPY19L1,BCL2,C3orf52,MAML1,BDP1,BMI1,SMG1,KAT6B,TFDP1,KIF15,AHNAK,LATS1,NEU3,USF3,HLA-DQA1,BARD1,MYEF2,ATP8B1,NUP153,NBN,TLR4,RAB9B,DICER1,N4BP2,XK,REV3L,POLQ,REL,DIP2B,ZNF385B,TCF12,ZNF92,JAK2,AKAP2,WNK1,DCLRE1A,ASPM,BRIP1,MSX2,CMTM4,CACNA2D1,SREK1,LRCH3,MAP2K6,ARID1A,SESTD1,MYO9A,FGF5,SPIN4,BUB1B,TBC1D4,ATAD2,CBL,KIAA1524,CDK19,PPM1E,UBR5,ATP13A3,LNPEP,CEP85,TCERG1,ANLN,TRIM36,GPHN,KIF14,ZMYND11,RC3H2,NIPBL,ANK2,RIMS2,SCYL2,BAHD1,DCBLD1,IGSF3,NLRP3,UBR3,ITSN2,ARID2,KIDINS220,CCL2,MAPK1,ICE1,SVIL,RB1,ECT2	152	
Cancer, Organismal Injury and Abnormalities, Reproductive System Disease	prostatic adenocarcinoma	Prostatic adenocarcinoma	1.58E-08	 	 	 	 	MYO5C,CLASP2,KIF21A,MEX3D,ZNF462,E2F3,PCF11,BORA,NRXN3,VPS13B,OCRL,STAG1,DENND5B,EPDR1,ARID1B,PDPR,AOX1,BRD1,UBE2T,ME2,FERMT2,C1orf106,FBN1,CDYL2,LIN9,ENOX2,GOLIM4,APPL1,COL5A2,MPHOSPH9,BIRC6,SORBS1,SETD2,BRCA2,RECQL,AMIGO1,UTRN,FLG,FAT3,GTF2H3,GNB4,ARHGAP31,PBRM1,SMARCA2,PHF2,DOCK4,PPP2R3A,SYNE2,ATXN1L,SLC12A2,ZNF782,AKAP12,HECW2,CLIP1,PDE11A,PRMT3,CCDC15,SEMA7A,GRIP1,RFX7,AKAP11,MOCOS,SYNJ1,COBL,LRRC8C,ASXL2,MYCBP2,BRD3,FBXO30,EP300,DGKI,OTUD4,KHSRP,EPHA4,SOS1,PDZD2,SMC5,KMT2C,RAPGEF6,MYO5A,MGA,GFM1,MTRR,BDP1,GREB1L,KAT6B,TFDP1,KIF15,PTGFRN,AHNAK,B4GALT6,SETD7,ASCC3,ITGAV,DNAJC13,UTP20,MIS18BP1,IPO11,KCNH1,ATP8B1,RHPN2,NBN,TLR4,N4BP2,REV3L,POLQ,MAGI3,STRN,SLC36A1,DIP2B,COL4A1,CASP8AP2,AHCTF1,JAK2,B4GALNT1,EIF3A,AKAP2,JAK1,PPP2R2C,OTUD6B,NUP160,ASPM,FRYL,CACNA2D1,MEIS2,LRCH3,MYO9A,TTPA,SEMA3E,PAPPA,TAF1B,TBC1D4,ATAD2,ZFYVE16,TAF3,KMT2A,CBL,NEK4,TAF4,COL12A1,TCERG1,TRIO,ETV3,ANLN,SACS,TRRAP,GPHN,PLXNA2,KIF14,NSUN6,SPATA5L1,ADCY7,RBM12B,ANK2,NIPBL,TMX3,RIMS2,SCYL2,EML1,PDPK1,NLRP3,ITSN2,UBR3,LRRCC1,ARID2,CEP78,ICE1,SVIL,RB1	169	
Cancer, Endocrine System Disorders, Gastrointestinal Disease, Organismal Injury and Abnormalities	pancreatic tumor	Pancreatic tumor	1.59E-08	 	 	 	 	DNA2,MYO5C,CLASP2,PTPRB,C2CD5,KIF21A,MEX3D,CAMSAP2,PKP2,TEX2,E2F3,RASSF8,PCF11,NRXN3,FAM196B,STAG1,MFHAS1,ARID1B,NCAPD3,AKAP1,ABCB10,RAD54L2,LEMD3,MYO1B,BOC,KDM3B,ADAMTS1,APPL1,MCM9,MPHOSPH9,CDK5R1,DOCK10,BIRC6,MKL2,PLK4,SETD2,RAVER2,BRCA2,UTRN,FLG,FAT3,PBRM1,KLF12,SMARCA2,DOCK4,SYNE2,PIAS1,SIPA1L2,MAN2A1,HECW2,PPARGC1B,STIL,CCDC15,GRIP1,RFX7,AKAP11,FIGNL1,CHUK,NDST3,ITSN1,BRPF3,TAF2,MYCBP2,EP300,CAAP1,PTPN3,KLHL29,SOS1,PDZD2,UNKL,KMT2C,MGA,PRKCA,CELF2,ADAMTS12,DPY19L1,BCL2,C3orf52,SP3,BDP1,SMG1,CEP135,ASCC3,ITGAV,DNAJC13,UTP20,KCNQ5,CHD1,PCLAF,ESCO2,ATP8B1,TRAPPC10,NBN,PGM2,TLR4,XRCC2,POLR3G,POLQ,SASS6,ENOX1,MAGI3,DIP2B,CCNE2,TCF12,COL4A1,MED13L,CASP8AP2,JAK2,B4GALNT1,WNK1,JAK1,RIF1,SEMA3D,DCLRE1A,ASPM,CRIM1,FRYL,BRIP1,MSX2,RBM24,ARID1A,FAM208B,MYO9A,TOP1,SEMA3E,APAF1,CBL,ZNF90,TAF4,COL12A1,UBR5,WDHD1,TSPAN12,TRIO,SACS,TRIM36,NSUN6,COBLL1,NOC3L,MIS12,RC3H2,NIPBL,ANK2,ST6GALNAC5,RIMS2,WEE1,EML1,ZBED4,NLRP3,DDI2,ARID2,CEP78,ICE1,SVIL,RB1	155	
Cancer, Neurological Disease, Organismal Injury and Abnormalities	glioma formation	Glioma	1.63E-08	 	 	 	 	USF3,ITGAV,HLA-DQA1,CHD1,PCLAF,RHPN2,TLR4,VPS13B,EPDR1,AOX1,FAM120A,POLQ,SUSD5,LDLRAD3,COL4A1,CASP8AP2,ABCB10,MOB4,AKAP2,ATP2A2,BOC,ASPM,UHRF1,SETD2,BRCA2,ARID1A,RECQL,TOP1,FGF5,FLG,RSU1,PBRM1,CBL,DOCK1,SLC12A2,USP36,AKAP12,CLIP1,PDE11A,PTPN11,CCDC15,SPAG1,TRIO,QKI,ANLN,JPH1,SYNJ1,TRRAP,QSER1,NEGR1,COBL,ITSN1,GLIS3,RC3H2,ZNF215,MYCBP2,EP300,OTUD4,ANK2,RIMS2,EPHA4,TAF13,KMT2C,IGSF3,PDPK1,NLRP3,ADAMTS12,BCL2,CCL2,C3orf52,BMI1,ICE1,GREB1L,RB1,HIPK2,ECT2	76	
DNA Replication, Recombination, and Repair	DNA damage response	DNA damage response of cells	2.36E-08	 	 	 	 	SETD7,TOP1,HIPK1,PCLAF,NBN,NEK4,SLF1,XRCC2,UBR5,DDIAS,REV3L,UBE2T,POLQ,RAD51D,NIPBL,RIF1,WEE1,SMC5,MCM9,SMC6,BCL2,STXBP4,MAPK1,SFPQ,BRCA2,HIPK2,INIP	27	
Developmental Disorder, Neurological Disease, Organismal Injury and Abnormalities	congenital malformation	Congenital malformation of brain	2.66E-08	 	 	 	 	DNA2,APAF1,ITGAV,SMARCA2,HIPK1,CEP152,ROR1,NBN,XRCC2,DICER1,STIL,ARID1B,SASS6,BMPER,TSEN15,COL4A1,LMNB1,NDST3,EP300,TMEM5,LIN9,ASPM,KAT6A,MSX2,KNL1,TEAD1,PLK4,BRCA2,SETD2,HIPK2,TFDP1,ARID1A,CEP135,PYGO1	34	
Cancer, Endocrine System Disorders, Organismal Injury and Abnormalities, Reproductive System Disease	gonadal tumor	Gonadal tumor	2.83E-08	 	 	 	 	FUBP3,ZNF100,PKP2,ZNF551,E2F3,CEBPZ,NRXN3,INHBA,STAG1,PPFIA1,PRPF38B,ARID1B,CORO2B,LEMD3,HBE1,KDM3B,FAM105A,SORBS1,SETD2,BRCA2,UTRN,NEK7,FLG,ACTR2,FAT3,GNB4,PBRM1,SMARCA2,PHF20L1,ARHGEF26,CEP152,FRMPD3,DIO2,SIPA1L2,AGK,PDE7A,DGKH,PTPN11,QKI,C2orf88,SLMAP,ZNF215,MYCBP2,EP300,DGKI,OTUD4,KLHL29,KMT2C,MGA,ADAMTS12,BCL2,SMG1,KAT6B,TFDP1,TFCP2L1,LATS1,USF3,HLA-DQA1,CHD1,PCLAF,BARD1,ATP8B1,NBN,TLR4,RAB9B,DICER1,POLQ,RAD51D,DIP2B,ZNF385B,COL4A1,ZNF92,JAK2,AKAP2,WNK1,DCLRE1A,ASPM,BRIP1,MSX2,CMTM4,CACNA2D1,SREK1,ARID1A,MYO9A,TOP1,FGF5,TBC1D4,ATAD2,KIAA1524,CDK19,UBR5,LNPEP,E2F8,CEP85,ANLN,TRIM36,BAHD1,TAF13,IGSF3,NLRP3,UBR3,CCL2,MAPK1,RB1,ECT2,CYP24A1	106	
